###############################################################################
# SDCS (nb/GeV^4) for the 1S0 Octet channel, unpolarized
# Matrix element normalization follows PRD51 (1995) 1125 Eq. (6.2c)
###############################################################################
# pT  LP+NLO              LO                    NLO
###############################################################################
5    16486.608762077358    15645.153947368417    15579.63552631573
6    6820.470471988384    6135.5434210526355    6398.109210526291
7    3101.9334410629767    2642.7065789473677    2883.9997368421027
8    1497.5719400085138    1232.6084210526315    1376.163552631581
9    776.8557411797243    615.1987374649531    705.4256020839205
10    427.42671668575053    325.2348684210525    383.3761842105265
11    246.21249657546662    180.67349506731907    217.90019955946855
12    147.82631487613097    104.72828113227324    128.99182554476542
13    92.06744330393099    62.999589579333914    79.16671059149037
14    59.24402000784679    39.148906606512554    50.18433214717896
15    39.257169438194396    25.03328947368421    32.75587368421055
16    26.733622811652445    16.419956358087525    21.980374477095136
17    18.63515082578473    11.017220317879717    15.09963919394368
18    13.261280899482392    7.544380100177759    10.58923370254387
19    9.611539218227577    5.2621581397950505    7.563948913609794
20    7.081951103667977    3.7319868421052638    5.493434210526331
21    5.291674115337964    2.6873431468419544    4.046178688726926
22    4.007665879097695    1.9621535751046542    3.0212432841333023
23    3.0735165793164883    1.451017413985747    2.285011230467988
24    2.384842320436364    1.0856870755748718    1.7491335616942494
25    1.870844412581717    0.8211873684210528    1.3542501315789508
26    1.4845795708787455    0.6274134132151054    1.0616205576054416
27    1.1890640783164446    0.4838553392721048    0.8404060479981423
28    0.9605002162860058    0.37640024455843085    0.6712685786979646
29    0.7819348915471789    0.29519378467489893    0.5405832585185362
30    0.6411309925657055    0.2332717105263158    0.4386215657894734
31    0.5289198388493211    0.18565898110399423    0.35813442794876815
32    0.4390504451570961    0.1487564224212018    0.2943204862912554
33    0.3665691296290122    0.11994195297315527    0.24335904249748075
34    0.30772619849161115    0.09728515983049457    0.20238390745115836
35    0.2596590429826611    0.07935232894736843    0.16922628947368434
36    0.22013905283037244    0.0650702069019536    0.14220605511506473
37    0.18749787543476998    0.0536278115921796    0.12009115616311541
38    0.1604007232268992    0.044409065420425935    0.10189593955813044
39    0.13779678365914932    0.036942272594214925    0.08685054556307191
40    0.11885377310646962    0.030863868421052633    0.07434998421052638
41    0.1029240766401505    0.025891944408246777    0.06393018132661119
42    0.08945343760949687    0.02180629948504341    0.05518961096034493
43    0.07801424668102754    0.01843423388952943    0.047824536154758714
44    0.06826122162491578    0.015639470225732206    0.04159178416255515
45    0.05991409501265697    0.013313907894736847    0.03629561315789478
46    0.05274704608769652    0.011371381706433908    0.031780454537572556
47    0.04656848290053379    0.009742836790280481    0.027913330724117825
48    0.041224008337569173    0.0083727219287714    0.024588929803689135
49    0.0365860874761558    0.0072161385579667505    0.021720967649733563
50    0.03254891514664055    0.006236644736842104    0.019238423684210502
51    0.02902950311940242    0.005404551045374883    0.01708527254131324
52    0.02594695784743826    0.004695547978847107    0.015208808800457215
53    0.0232392924575436    0.0040896838419753985    0.01356824005000212
54    0.020854437618830796    0.0035705161660761283    0.012129564768954987
55    0.018748481582398006    0.0031244473684210526    0.010864320789473678
56    0.01688425163994157    0.002740194853461235    0.009748584974036079
57    0.015230165409709884    0.0024083666429284135    0.00876216982205007
58    0.013759296445741531    0.002121120196383922    0.007887975245341742
59    0.012448610905996704    0.0018718870845733442    0.007111463210574334
60    0.011278341380957877    0.0016551499999999995    0.006420230131578945
61    0.010235172883501498    0.0014662582170644253    0.005808944197576715
62    0.009302535507655824    0.0013012890451319084    0.005264594093968229
63    0.00846744658140313    0.001156918536057417    0.004779072674860918
64    0.0077185834996253075    0.0010303246535522824    0.004345338521978402
65    0.007046055423458854    0.0009191055651469251    0.003957265661120235
66    0.006441208470401668    0.0008212121778751732    0.0036095158507206456
67    0.005896459181956921    0.0007348922741886213    0.003297429844296715
68    0.005405151914575097    0.0006586441242953767    0.0030169346371647786
69    0.004961436508773264    0.0005911778630569352    0.002764464206880755
70    0.004560163178335171    0.0005313832472383374    0.0025368916674969643
71    0.004197424575555303    0.00047830267040704395    0.002331471096635328
72    0.003868425682733525    0.0004311085221534253    0.0021457875748780897
73    0.003569620401864389    0.0003890841464799637    0.0019777142097521442
74    0.0032978757235988298    0.0003516077896999158    0.0018253751102264915
75    0.0030504191728261054    0.00031813903767591783    0.0016871134391057763
76    0.002824793476010153    0.00028820733096181727    0.001561463805625676
77    0.0026188173871122804    0.000261402218525112    0.0014471283735340633
78    0.0024305517756434475    0.00023736506949565745    0.0013429561547278622
79    0.0022582702193666964    0.00021578201040698346    0.0012479250381890997
80    0.002100433460294887    0.00019637789473684217    0.0011611261710526314
81    0.0019523253470862408    0.00017890972417129126    0.0010785766967817034
82    0.0018161599977936259    0.00016316627618435473    0.0010027921684094955
83    0.001690855126631351    0.0001489605269754538    0.000933144283139887
84    0.0015754372122234537    0.0001361275272542081    0.0008690699150108919
85    0.0014690295046574547    0.000124521587806699    0.0008100636563254989
86    0.0013708414709948083    0.00011401385014393032    0.000755671290852218
87    0.0012801594929156429    0.00010449018600915469    0.0007054840728415116
88    0.0011963386560799626    0.00009584937823708837    0.0006591337041900764
89    0.0011187954928459007    0.0000880015427456715    0.0006162879175373256
90    0.0010470015588063615    0.00008086675754673749    0.0005766465861641726
91    0.0009805111030362274    0.00007437386978754596    0.0005399382926676226
92    0.0009188489494463114    0.000068459456146331    0.0005059172978245525
93    0.0008616193998667847    0.0000630669155381948    0.00047436085909940073
94    0.0008084629164492661    0.00005814567615508146    0.0004450668551128493
95    0.0007590524764606822    0.00005365050145810175    0.0004178516782559705
96    0.0007130903286124111    0.00004954088193890259    0.0003925483626597232
97    0.0006703051029893427    0.00004578050133282303    0.00036900491904155513
98    0.0006304492328011063    0.000042336767553224954    0.00034708285165692057
99    0.0005932966514893775    0.00003918039996768094    0.000326655835774104
100    0.0005586407333146642    0.00003628506578947369    0.0003076085368421054
101    0.0005262460996524772    0.00003362727619375491    0.0002897978345209277
102    0.0004959934539481831    0.000031185412102740415    0.00027317078249537957
103    0.0004677241663588648    0.000028940208395326434    0.0002576388966614606
104    0.00044129259291641933    0.000026874271691257285    0.00024312102708932615
105    0.00041656491230142496    0.00002497188376070699    0.00022954269128678135
106    0.00039341807570838914    0.000023218827114899886    0.0002168354733739534
107    0.0003717388579483931    0.000021602230104051906    0.00020493648213263475
108    0.00035142299926727624    0.00002011042919157819    0.0001937878617003925
109    0.0003323744285298821    0.000018732846369684525    0.00018333634938733328
110    0.0003145045594538219    0.0000174598799377852    0.00017353287571524953
111    0.00029773536474198795    0.000016282807087340534    0.00016433220232598032
112    0.0002819869699627951    0.000015193696929463248    0.00015569259388756342
113    0.0002671895400072978    0.00001418533276913839    0.00014757552055167205
114    0.00025327854248491464    0.000013251142575596724    0.00013994538789081744
115    0.0002401943053704185    0.000012385136725294678    0.00013276929157527166
116    0.00022788161484586387    0.000011581852204627272    0.00012601679434292846
117    0.00021628934938768864    0.000010836302556125191    0.00011965972307502462
118    0.0002053701465664234    0.000010143932936353283    0.00011367198402094385
119    0.00019508009939644326    9.500579727640273e-6    0.00010802939441971002
120    0.00018537847940182023    8.902434210526313e-6    0.00010270952894736842
