###############################################################################
# SDCS (nb/GeV^6) for the 3P1 Singlet channel, polarized |h|=1
# Matrix element normalization follows PRD51 (1995) 1125 Eq. (6.3c) 
###############################################################################
# pT  LP+NLO              LO                    NLO
###############################################################################
5    519.8570929544239    1664.3233107161445    1459.5018889876624
6    304.2618174024563    727.7598632576703    762.9826959581674
7    52.36640979714713    336.54612550825243    296.517060365938
8    -23.935940420465556    164.73259578565143    115.11758236813864
9    73.78587232972839    85.03241665544806    157.38652241491337
10    63.26189541592297    46.06028514589648    115.82754227534532
11    -1.8429550962131813    26.06519122637531    32.48056004272867
12    -15.947505992876707    15.324148597894473    7.195631042244178
13    -11.762492396078665    9.321465491187821    4.285633269957783
14    -9.31146722037886    5.844375759856099    2.0841495458637542
15    -7.624612507778808    3.7640302847458433    0.6356565539635368
16    -6.047287352849784    2.4838305066349116    0.04798173719135365
17    -4.815572197276368    1.6749056737994046    -0.24366815507512823
18    -3.8556585907298886    1.1517028295059977    -0.37434377063708346
19    -3.1041608757401775    0.8060892239887978    -0.4180542327448178
20    -2.513056363040862    0.5733701022257793    -0.41586448132329235
21    -2.043210868288585    0.4139683241943044    -0.38885853268402354
22    -1.6706798086816086    0.302946182501462    -0.3528932941418771
23    -1.3738219174852127    0.2244704763248985    -0.31467431918140415
24    -1.1360038102155345    0.1682412676759204    -0.27764693979465377
25    -0.9444441821368768    0.12744311231686553    -0.24344493310785056
26    -0.7892530173294625    0.09750774584598418    -0.2125603625295785
27    -0.6628717526547101    0.0752915649485465    -0.1852969504736707
28    -0.5594103767726375    0.05863641941223245    -0.16148019354124224
29    -0.4742791769242525    0.04603190153922693    -0.14080665950918703
30    -0.4038840044233843    0.036408323213001546    -0.12292812169559127
31    -0.34538148977283    0.0289996800899183    -0.10749631306688102
32    -0.2965530785996308    0.023251716815158044    -0.09418526493141333
33    -0.2556196487518423    0.018759470301245654    -0.08270103594885969
34    -0.22115923381233496    0.0152243367272943    -0.07278450758450064
35    -0.19202990104042056    0.012424231000076752    -0.06421052315072061
36    -0.16748853116911597    0.01019369413110924    -0.05696345789414645
37    -0.1465581124609846    0.008405410657850321    -0.05064715274145268
38    -0.128638780886299    0.006963720309670498    -0.04512821883041618
39    -0.11324132758160319    0.005795312339813793    -0.04029413830391937
40    -0.09996484120590501    0.004843631647603683    -0.03604978348491287
41    -0.08848061021904235    0.004064774530682913    -0.03231453691685128
42    -0.07851382077324776    0.0034244544694131654    -0.0290199096345459
43    -0.0698378508509049    0.00289574274257178    -0.026107570751209987
44    -0.062263742847877626    0.0024573744217727305    -0.02352771575999731
45    -0.055633328910313716    0.002092469928118447    -0.021237713437066007
46    -0.04981371917931107    0.001787564163392456    -0.01920098185365473
47    -0.04469286214140904    0.00153186480498124    -0.01738605288948323
48    -0.040175952555097524    0.0013166824292930419    -0.015765791993606004
49    -0.036182512667426864    0.0011349902573503663    -0.014316745983097613
50    -0.03264401074212052    0.0009810822532038905    -0.013018596615648886
51    -0.02949190458654785    0.0008503589125025418    -0.011842716932609772
52    -0.026688226199637677    0.0007389441740957744    -0.010787203742381297
53    -0.02418962512529972    0.0006437133336343827    -0.009838373433005355
54    -0.0219587372710974    0.0005620903765033035    -0.008984239154336444
55    -0.019963278013598734    0.0004919442748946921    -0.008214285292572714
56    -0.01817528455577958    0.00043150623698465533    -0.007519273471250529
57    -0.016570481073105627    0.0003793034094505025    -0.006891075555810028
58    -0.015127745204210272    0.00033410555595534856    -0.006322529778772486
59    -0.013828658449232038    0.00029488201149234185    -0.005807316660833867
60    -0.012657126249708984    0.0002607668068110607    -0.00533985188627691
61    -0.011598555603472619    0.00023103031370418287    -0.004915193706732933
62    -0.010641216190480463    0.00020505611421997892    -0.00452896280341613
63    -0.00977423711646493    0.0001823220698720848    -0.004177272842127242
64    -0.008988039817729061    0.00016238477936781996    -0.003856670214618314
65    -0.00827416994507266    0.00014486677936921988    -0.0035640816806437377
66    -0.007625152950496844    0.00012944597300240814    -0.003296768812778293
67    -0.007034369784011631    0.00011584687334436105    -0.003052288305724584
68    -0.006495949689221364    0.00010383333012513581    -0.0028284573475637134
69    -0.006004677567892431    0.00009320247212639862    -0.0026233233658306478
70    -0.005555913783506609    0.00008377964887900753    -0.0024351375595002204
71    -0.005145130552504513    0.00007541749348075402    -0.0022617800147979273
72    -0.004769084168609812    0.00006798176950304391    -0.002102483022265159
73    -0.004424470846397537    0.00006135978759326749    -0.001955973468014333
74    -0.004108335509104564    0.000055453770746406286    -0.0018211049097232323
75    -0.0038180313867638297    0.00005017872407557623    -0.0016968439062832101
76    -0.003551184706478911    0.00004546063089515787    -0.0015822579294704074
77    -0.0033056637819528665    0.000041234921823183465    -0.00147650466340348
78    -0.0030795519105149207    0.00003744517284324856    -0.0013788225225768013
79    -0.002871123571275194    0.0000340419958100856    -0.00128852224094267
80    -0.0026788234902796067    0.00003098209106237108    -0.0012049794033131857
81    -0.0025012207052781768    0.000028227436881028007    -0.0011276278066562667
82    -0.0023370809012844542    0.000025744594709092715    -0.0010559535530108295
83    -0.00218525770046556    0.00002350411249694052    -0.000989489788035522
84    -0.0020447128779319387    0.000021480011388633544    -0.0009278120098876171
