###############################################################################
# SDCS (nb/GeV^6) for the 3P1 Singlet channel, unpolarized
# Matrix element normalization follows PRD51 (1995) 1125 Eq. (6.3c) 
###############################################################################
# pT  LP+NLO              LO                    NLO
###############################################################################
5    -797.8722542498579    2211.8155931849906    1182.279883647712
6    -490.7254320649063    900.1479463089171    476.0416798973315
7    -325.8588624876041    396.06723326599894    188.71050283642575
8    -220.6745125534502    187.1959819954272    72.39370362719866
9    -151.64764009775126    94.25454787207738    24.548410135654425
10    -105.85294906186347    50.131319756674706    4.9336947059674054
11    -75.18982646316933    27.972398281566967    -2.8503014088220615
12    -54.259717523112165    16.26762529698023    -5.484073649625322
13    -39.72724191308087    9.810575900987006    -5.905343568367314
14    -29.475113054104874    6.108621849370056    -5.458979429668681
15    -22.15527701541647    3.912309410854986    -4.747207337766137
16    -16.847171592893066    2.569543002365673    -4.001943532914507
17    -12.964620348393282    1.725937111645288    -3.329952941743468
18    -10.09464033815162    1.1829584776195374    -2.7584816717371057
19    -7.943732386974867    0.8257391946974008    -2.2835112959935846
20    -6.310600866845239    0.586007297795292    -1.891505403063655
21    -5.052696329781503    0.4222139321303387    -1.5668082230004057
22    -4.078249530311838    0.30842984607138696    -1.3015945680601828
23    -3.3170156667861583    0.22818274020243517    -1.0853689629966539
24    -2.717529207979045    0.17079643310351247    -0.9089846959473663
25    -2.241769216545671    0.12922935815723707    -0.7648009713539463
26    -1.863209937078135    0.09876486924071441    -0.648175409649565
27    -1.5576843276297823    0.07618684975831276    -0.551503262919818
28    -1.3092823547148913    0.05928135483531976    -0.47091920830871536
29    -1.1059528496601843    0.04650169600521579    -0.40340485382279684
30    -0.9384758825559755    0.03675429075277006    -0.3465805946282524
31    -0.7990107071675356    0.029257632603214435    -0.29786303705320666
32    -0.6831369402952592    0.02344602780991023    -0.2568209968203572
33    -0.5864649963736179    0.01890727204799803    -0.2221946109787015
34    -0.5054845946911708    0.015337801984356261    -0.1929240174034015
35    -0.4373782699789426    0.012512098463010199    -0.16812359457641476
36    -0.38010347782707943    0.010261302523583095    -0.14728375617719106
37    -0.331476670742441    0.008457778931742538    -0.12944489090151295
38    -0.29000991128236087    0.007004551679492413    -0.11410197167845447
39    -0.25450268436989676    0.005827356947448395    -0.1008481965655166
40    -0.2239804607267143    0.0048689445083960415    -0.08935333285416021
41    -0.1976245437089582    0.004084914761696309    -0.07932145696838842
42    -0.17481694895798666    0.0034405814586967723    -0.07056925384706883
43    -0.1550196283663147    0.0029087366306335747    -0.06291325707841303
44    -0.13778515824189846    0.0024679074784120653    -0.056199228561802976
45    -0.12273998711758215    0.0021010587188880553    -0.050297041248024976
46    -0.10955672224933696    0.0017946108856243207    -0.04508221135440054
47    -0.09799324735846399    0.0015376781323688427    -0.040482399853644824
48    -0.08782794605225061    0.0013215033241473371    -0.036418560750034315
49    -0.07887237052439673    0.0011390079539750375    -0.032822385677843034
50    -0.0709658816113462    0.0009844462362166614    -0.029634810526792454
51    -0.06396174267028452    0.0008531364643471287    -0.026793240085542912
