###############################################################################
# SDCS (nb/GeV^6) for the 3P2 Singlet channel, polarized |h|=1
# Matrix element normalization follows PRD51 (1995) 1125 Eq. (6.3d)
###############################################################################
# pT  LP+NLO              LO                    NLO
###############################################################################
5    196.49229864539484    443.4389294700769    412.8408086767211
6    69.4393587252116    178.31639788862154    174.5389258294972
7    64.30096472731886    78.17189468844424    120.05857097834416
8    36.56991927566983    36.92900069148744    68.2530564024127
9    19.1253701234017    18.60186301530312    38.13238164543301
10    12.02546206862499    9.90236317950362    23.953745915107508
11    -0.5501124932158739    5.53122368809625    7.226623011851273
12    -9.399778495787547    3.220132250951955    -4.163070029152879
13    -5.637623618866611    1.9438926293873404    -2.010710523672048
14    -2.8448787686010983    1.2114496484794126    -0.27223148038638056
15    -1.6904171201126976    0.776477618645968    0.17258108138433942
16    -1.2635624014909306    0.5103589050439233    0.10993887206225002
17    -0.9967948621767811    0.3430274021933773    0.0326061997157917
18    -0.8124930157152004    0.23523692550977493    -0.029224845659386614
19    -0.6762848357906815    0.16427306448305412    -0.0723438903988934
20    -0.5696445454836019    0.11662419975029564    -0.09841278914763574
21    -0.46512017570824016    0.08406107800047942    -0.09361069305592552
22    -0.38186607703520814    0.061428546386478725    -0.08610007095314383
23    -0.31522203725223213    0.04545967340582959    -0.0776286435759475
24    -0.2615938238002513    0.03403558172106074    -0.06913766784657287
25    -0.21820913808417358    0.025757878707164835    -0.06110876898542035
26    -0.182960311703369    0.019690780726108355    -0.053777309157724024
27    -0.15413220998933352    0.015192960455364292    -0.0471992340293734
28    -0.13043272051956536    0.011824216563207769    -0.04137042340181704
29    -0.11085212378827694    0.009276934957588582    -0.036246629113691385
30    -0.09459708184744213    0.0073335567401545    -0.03176532265550207
31    -0.08103771810272375    0.0058384794902276    -0.027858034964395463
32    -0.06968047163749184    0.004679239665307048    -0.02445710306305208
33    -0.060127985338841866    0.0037737492570517404    -0.021499138290678343
34    -0.05206132984933471    0.0030615350842141584    -0.01892659220121313
35    -0.04522329088315305    0.002497657827331555    -0.016688240175117674
36    -0.039398008199565515    0.002048623421732722    -0.014731620839265012
37    -0.034425517813613984    0.001688759824858256    -0.013027185344817675
38    -0.030166808686917013    0.001398746070380641    -0.01154062066434199
39    -0.026507710789689467    0.0011637835425678158    -0.010242274515995176
40    -0.02335408885365666    0.0009724618800475359    -0.009106597444573613
41    -0.020628337748328514    0.0008159274936722733    -0.008111614321067778
42    -0.018265327226996635    0.0006872692818186571    -0.007238441906752441
43    -0.0162111238835703    0.0005810615032028134    -0.006470858661092755
44    -0.014420616863658853    0.0004930212428898241    -0.005794927050662004
45    -0.012855949160517141    0.00041975005005953446    -0.005198665448241196
46    -0.011485249112418775    0.000358537835867679    -0.004671765191842747
47    -0.010281600778573827    0.00030721313212958584    -0.004205347820917675
48    -0.009222205147352098    0.0002640280925671018    -0.003791757502862507
49    -0.008287694379684123    0.0002275696892618103    -0.003424383952104765
50    -0.00746156923510615    0.00019669077548329107    -0.003097511573195471
51    -0.006732629397751783    0.00017046561038596352    -0.0028088299398839724
52    -0.00608522913372425    0.00014811695279723475    -0.0025508022694604652
53    -0.005509086634608974    0.00012901695099065718    -0.002319776523727952
54    -0.004995361826347858    0.00011264810052967643    -0.0021125821257991693
55    -0.00453643416659056    0.00009858236882886618    -0.0019264605823092534
56    -0.004125717710387465    0.00008646454154165544    -0.0017590069135379226
57    -0.003757506699400932    0.0000759988833545614    -0.0016081200892381952
58    -0.0034268462374385045    0.00006693841200187558    -0.0014719609866689727
59    -0.0031294236528639956    0.000059076241203907475    -0.0013489166467959984
60    -0.0028614769752915168    0.00005223856815773596    -0.0012375698163226438
61    -0.002619579519066515    0.00004627897330652836    -0.0011366729363160152
62    -0.002401025444967888    0.00004107377115671637    -0.00104512588006052
63    -0.0022032854731747474    0.000036518205952019895    -0.0009619568593019637
64    -0.002024133890366807    0.000032523328833056664    -0.0008863060139856834
65    -0.0018616086428153342    0.00002901342655893985    -0.0008174112797609039
66    -0.001713977121541747    0.000025923898096480687    -0.0007545961930022797
67    -0.0015797067657082665    0.000023199496029177496    -0.0006972593473784809
68    -0.0014574397538003087    0.000020792866049979703    -0.0006448652610938036
69    -0.001345971170552447    0.000018663330734800262    -0.0005969364514789295
70    -0.0012442301355669952    0.00001677587408317271    -0.0005530465449425235
71    -0.0011507238653357759    0.000015100910603923343    -0.0005122276264509981
72    -0.0010652272812469365    0.000013611582035149534    -0.0004748213258300763
73    -0.0009869730962102966    0.000012285298961585832    -0.00044051301065429647
74    -0.0009152750612023801    0.00001110246256352237    -0.00040901942080709907
75    -0.0008495186321876311    0.000010046037212478892    -0.0003800853407794943
76    -0.0007891527990756303    9.101188569133198e-6    -0.0003534806413962792
77    -0.0007336829213567437    8.254976480338382e-6    -0.00032899764885983563
78    -0.0006826644372435969    7.49609382744297e-6    -0.00030644880379416184
79    -0.0006356973319611823    6.814643993799571e-6    -0.0002856645772481812
80    -0.0005924212668164379    6.2019508607443735e-6    -0.0002664916144225216
81    -0.0005525015146821038    5.650396260681252e-6    -0.00024879108026260206
82    -0.0005156566493151656    5.153280655009615e-6    -0.0002324371840556804
83    -0.00048162167600283216    4.7047034970337444e-6    -0.00021731586282033446
84    -0.0004501567619129963    4.29946031268849e-6    -0.00020332360562091796
85    -0.0004210446345730928    3.932954006689084e-6    -0.0001903664030104162
86    -0.0003940882704936494    3.601118296195433e-6    -0.00017835880763380534
87    -0.00036910883929602514    3.3003515025642737e-6    -0.00016722309363793097
88    -0.0003459438731032398    3.0274592058782685e-6    -0.00015688850395810495
89    -0.00032444563476080135    2.7796044961599103e-6    -0.00014729057580800816
90    -0.00030447966175515656    2.554264747249312e-6    -0.0001383705358079959
91    -0.000285927447548757    2.3491940005860178e-6    -0.00013007475716489978
92    -0.0002686725161761669    2.162390181792363e-6    -0.00012235427217941372
93    -0.0002526128764396741    1.9920664872931814e-6    -0.00011516433411890924
94    -0.00023765541792520012    1.8366263747513816e-6    -0.00010846402316601068
95    -0.00022371506460092    1.694641672770166e-6    -0.00010221589174723027
96    -0.00021071401587652167    1.5648333945236108e-6    -0.00009638564507074157
97    -0.00019858106540023804    1.446054898730905e-6    -0.00009094185316621084
98    -0.0001872509890262712    1.3372770913518237e-6    -0.00008585569112982234
99    -0.00017666399439462144    1.2375754039369875e-6    -0.00008110070464055148
100    -0.00016676522544829754    1.146118320873909e-6    -0.00007665259813501408
101    -0.00015750261831847065    1.0621572587958653e-6    -0.00007248904331278937
102    -0.00014883191425482206    9.850176279740934e-7    -0.00006858950589627283
103    -0.00014071060333307672    9.140909282756988e-7    -0.00006493508879275193
104    -0.00013309955308527996    8.488277518093586e-7    -0.00006150839000479557
105    -0.00012596271517178255    7.88731581179992e-7    -0.000058293373811192455
106    -0.00011926685963540079    7.333532867373895e-7    -0.00005527525389717165
107    -0.00011298133395171354    6.822862386739472e-7    -0.00005244038725173135
108    -0.00010707784438974236    6.351619605936506e-7    -0.000049776177773640785
109    -0.00010153025746322332    5.916462604830113e-7    -0.000047270988637812674
110    -0.00009631441948841464    5.514357830733125e-7    -0.00004491406257182811
111    -0.00009140776381731395    5.142549345694124e-7    -0.00004269544927983023
112    -0.00008678989141335452    4.798531367835132e-7    -0.00004060593932895111
113    -0.0000824416668513969    4.480023729821333e-7    -0.000038637003883033275
114    -0.00007834535850480399    4.184949923395887e-7    -0.00003678073973052718
115    -0.00007448452593256823    3.9114174388609564e-7    -0.00003502981910897601
116    -0.00007084391704902099    3.657700143230473e-7    -0.000033377443878149097
117    -0.00006740937416317769    3.42222247120794e-7    -0.000031817303638306485
118    -0.00006416774806570081    3.2035452297462006e-7    -0.000030343537429859513
119    -0.00006110681942277064    3.0003528402306267e-7    -0.00002895069868632814
120    -0.000058215226808931544    2.8114418627313364e-7    -0.000027633723144453198
