###############################################################################
# SDCS (nb/GeV^6) for the 3P2 Singlet channel, unpolarized
# Matrix element normalization follows PRD51 (1995) 1125 Eq. (6.3d)
###############################################################################
# pT  LP+NLO              LO                    NLO
###############################################################################
5    -2505.733119456076    899.0051957753674    30.822696711535777
6    -1338.6230122006855    309.0601114163527    -110.43394487855778
7    -768.0142569209174    120.83392176468507    -117.84630661073864
8    -464.9064083213151    52.44977264005085    -96.03467622822453
9    -292.59566263903383    24.799489005927885    -71.63426540434718
10    -190.66865797660813    12.577883109640847    -52.18134767887556
11    -128.0723624568314    6.765963888032493    -37.8803973076685
12    -88.34645315080822    3.8235134814029115    -27.66777150161744
13    -62.37956501940083    2.2537512821534675    -20.38901407810637
14    -44.94916150841654    1.3776439670218705    -15.186869738524251
15    -32.987480675623985    0.8691132603887585    -11.449702766808544
16    -24.61054808320051    0.5637308205934106    -8.741602818990813
17    -18.63551989476224    0.374722585175544    -6.748970774893218
18    -14.303803240508255    0.25458389692673455    -5.264170983299241
19    -11.112199153247193    0.17638047712886745    -4.145610780879126
20    -8.7280137267236    0.12437285455810622    -3.294753496982097
21    -6.922544449742367    0.08911336253116077    -2.640870158897264
22    -5.541371844672659    0.06478474660693981    -2.1339851023423164
23    -4.473825440126861    0.04772788878297756    -1.7376331906531925
24    -3.6407450476684025    0.03559310747122658    -1.4251465204138303
25    -2.984809520910196    0.026843273168460725    -1.1768445127156917
26    -2.464596953369499    0.02045571890194076    -0.9784073280404997
27    -2.0481114959625777    0.015738712051059874    -0.8182904275406591
28    -1.7121772400764113    0.012218111917910808    -0.6881990977028484
29    -1.4393273969886267    0.009564344619155304    -0.5818178757825655
30    -1.2162736081707815    0.007545441418200355    -0.4942967554281535
31    -1.03283336819155    0.005996245089100088    -0.42193214710520105
32    -0.8810805181316257    0.004797798493778547    -0.3617145613203036
33    -0.7548637335435138    0.0038636250875050296    -0.3113455012027853
34    -0.6493530236781155    0.0031302308731015957    -0.2690095176943355
35    -0.5607296263618711    0.002550574996109935    -0.23326288785813135
36    -0.4858600382107693    0.002089514989842279    -0.20285556932287227
37    -0.4224561973830524    0.001720569644849635    -0.17700237174421213
38    -0.3685572424993748    0.0014236498012644237    -0.15494864198767677
39    -0.32257023310354394    0.0011834007882520225    -0.13607491573046399
40    -0.2831953851821385    0.0009880066674193269    -0.11987119329271656
41    -0.24945198693523918    0.0008283175142093421    -0.10599724315547403
42    -0.22033721064314044    0.0006971991866601755    -0.09398250005325799
43    -0.19512563251292625    0.0005890618711824476    -0.0835355121139899
44    -0.17322001605393816    0.0004994997766533222    -0.07441769650810065
45    -0.15412614653272327    0.00042502185096040607    -0.06643247754173652
46    -0.13738325729012282    0.0003628478184788564    -0.05936707364872448
47    -0.12272197696744337    0.00031075264302664237    -0.05315951294248593
48    -0.10985654683209661    0.000266947424860951    -0.04769812365792034
49    -0.09854360085309714    0.00022998748604773965    -0.042886174200019424
50    -0.08857547826702886    0.0001987011519531709    -0.038639927794312454
51    -0.07980846921611948    0.00017213449057128631    -0.03491756352253482
52    -0.07204155837379086    0.00014950708275511366    -0.031611552630032284
53    -0.0651423056334051    0.00013017875620811842    -0.028665596981416006
54    -0.05899841143301421    0.0001136222527908553    -0.026032496938982047
55    -0.05351426634122785    0.00009940178848987175    -0.023672460582847384
56    -0.04860815556541154    0.00008715596580476624    -0.02155176275258582
57    -0.044209982234932416    0.00007658409947490874    -0.019641674840063298
58    -0.040259404045696355    0.00006743523072122309    -0.017917605558506397
59    -0.036704301108184435    0.00005949926797017348    -0.016358407170969102
60    -0.03349951056692653    0.00005259981631932838    -0.014945812278260466
61    -0.030624156850632307    0.00004658828689336132    -0.013684130471064484
62    -0.02803162578388585    0.000041339335923351796    -0.012544916088492508
63    -0.02569108602753744    0.000036746814990648315    -0.011515197322007339
64    -0.023575355612562375    0.00003272063557276373    -0.010583454287703825
65    -0.02166044012045267    0.000029184149054105176    -0.009739452546177967
66    -0.019925132573704818    0.000026071984490009983    -0.008974095368299954
67    -0.01835066641943224    0.000023328258970314693    -0.008279292843860642
68    -0.016920414235566575    0.000020905092209817548    -0.007647846056671535
69    -0.015619625850059868    0.000018761370286202103    -0.007073344689083953
70    -0.014435200467251224    0.00001686171401292551    -0.006550076562260254
71    -0.013356118949697331    0.000015175615862752956    -0.006072947759951385
72    -0.01237122583466906    0.000013676716101959735    -0.005637412119162012
73    -0.011471272122171201    0.00001234219420932367    -0.005239408998575174
74    -0.010648010064704675    0.00001115225601369175    -0.004875308353677059
75    -0.009894075476811617    0.000010089700505039012    -0.004541862255633539
76    -0.009202884890169558    9.139553126121028e-6    -0.0042361620890866755
77    -0.008568545562959797    8.28875466870837e-6    -0.003955600752466216
78    -0.007985776634267854    7.525896785634793e-6    -0.003697839263653408
79    -0.0074498399543417824    6.840996671304087e-6    -0.0034607772445284894
80    -0.006956479326171678    6.225304725544056e-6    -0.0032425268207653276
81    -0.006491097285142126    5.671112112764609e-6    -0.0030307619466243
82    -0.006061362838960098    5.17168724011347e-6    -0.0028348945311549825
83    -0.00566421081245734    4.721085282965835e-6    -0.002653585013767088
84    -0.005296867611453686    4.314063856631388e-6    -0.002485618428799016
85    -0.00495682088163144    3.945993352214464e-6    -0.002329891773543471
86    -0.004641792589820438    3.612779555885192e-6    -0.0021854027584083794
87    -0.0043497151123343784    3.310796755823909e-6    -0.002051239777332109
88    -0.0040787099689021805    3.03682981986722e-6    -0.0019265729567292215
89    -0.00382706888719751    2.7880239598950098e-6    -0.0018106461587463912
90    -0.003593236923079679    2.5618410941671132e-6    -0.0017027698298274323
91    -0.003375848174411024    2.356021882617015e-6    -0.001602314598833427
92    -0.003173549556572025    2.168552647848944e-6    -0.0015087055405079268
93    -0.0029851609019314034    1.9976365106339654e-6    -0.0014214170301492057
94    -0.0028096045859245366    1.8416681666555324e-6    -0.0013399681241479898
95    -0.0026458957388800558    1.69921181409034e-6    -0.0012639184087411112
96    -0.0024931334748707267    1.5689818117837362e-6    -0.0011928642660645214
97    -0.002350493023439988    1.4498257073303444e-6    -0.0011264355124891697
98    -0.002217218663806407    1.3407093249945531e-6    -0.001064292369399237
99    -0.002092617373130481    1.2407036465121855e-6    -0.0010061227311173625
100    -0.001976053110884205    1.1489732545804404e-6    -0.0009516396986771892
101    -0.0018674324554244256    1.0647723418998608e-6    -0.0009010900540248873
102    -0.001765655914389901    9.874159497424477e-7    -0.0008536446487252555
103    -0.0016702324121541344    9.162930220312853e-7    -0.0008090820755214185
104    -0.0015807105776927959    8.508519113576139e-7    -0.0007671991131642948
105    -0.001496675168609735    7.905941346997706e-7    -0.0007278090324195799
106    -0.001417743850176811    7.350688342180735e-7    -0.0006907400781620041
107    -0.00134356429088042    6.838678580669785e-7    -0.0006558341074118803
108    -0.0012738115404974633    6.366213870760983e-7    -0.0006229453656772279
109    -0.0012081856606789372    5.929940425802669e-7    -0.0005919393861361247
110    -0.0011464095814783626    5.526814188378736e-7    -0.00056269199807682
111    -0.0010882253990595883    5.154069905470861e-7    -0.0005350884326489095
112    -0.0010333982443810126    4.809193521035662e-7    -0.0005090225154016872
113    -0.000981708757931029    4.489897505728368e-7    -0.0004843959363260753
114    -0.0009329536822052017    4.1940987898578806e-7    -0.0004611175891986478
115    -0.0008869445475021388    3.9198990060307736e-7    -0.0004391029729723865
116    -0.0008435064757844933    3.6655667831445234e-7    -0.00041827364878698755
117    -0.0008024770910316195    3.4295218641214545e-7    -0.00039855674689752733
118    -0.0007637055257395437    3.2103208466352284e-7    -0.0003798845184577636
119    -0.0007270515143122314    3.006644369584416e-7    -0.0003621939276547152
120    -0.000692384565053372    2.8172855886564367e-7    -0.0003454262801845512
