###############################################################################
# SDCS (nb/GeV^6) for the 3PJ Octet channel, unpolarized
# Matrix element normalization follows PRD51 (1995) 1125 Eq. (6.3b) with color
# matrices
###############################################################################
# pT  LP+NLO              LO                    NLO
###############################################################################
5    -25577.066124305562    25813.937391304353    15259.328173913054
6    -15984.361208056609    9597.301043478254    3818.351478260858
7    -10031.926569142779    3983.545565217388    461.4271060869533
8    -6415.452258249915    1809.8743478260878    -457.89778000000337
9    -4186.35177897458    886.2673196644017    -615.2775213910863
10    -2796.696426394303    461.9473043478259    -557.2091878260846
11    -1911.8297880565065    253.87261168879496    -452.63356427980125
12    -1336.1550095509333    145.9389755204505    -354.0504347847716
13    -953.4928170174486    87.21641019882469    -273.6102590255934
14    -693.1433955311351    53.91419951599111    -211.09231619169512
15    -512.2180963476627    34.328827826086936    -163.27236295652176
16    -383.9765605058138    22.438674234601034    -126.8048704782156
17    -291.8670970538559    15.01209554860831    -99.18633640792305
18    -224.7980895411432    10.255097495333434    -78.23288852051351
19    -175.20505451642939    7.138205793036731    -62.2280716201152
20    -138.01582097204948    5.053671652173914    -49.887900208695605
21    -109.75674892890176    3.6335889453177312    -40.29519753740217
22    -88.06769920613047    2.6496008826539272    -32.78039139691931
23    -71.25211290121308    1.9571730312590208    -26.848350195593504
24    -58.09209507587483    1.4629606958812205    -22.131246862898582
25    -47.702722839900915    1.105589495652174    -18.353839391304344
26    -39.435923864541174    0.8440533546814866    -15.307079541874728
27    -32.80515945617023    0.6504803278819663    -12.835875608183345
28    -27.44851093936414    0.5057126417604992    -10.81946937286087
29    -23.092112468255173    0.3963917795465144    -9.164735984742133
30    -19.526887378850322    0.31308869565217384    -7.799386584347825
31    -16.592888271572185    0.24907443186820868    -6.668516675191491
32    -14.16353705941033    0.1994873330500518    -5.725264156969659
33    -12.141332911039116    0.1607879121274095    -4.934607382973659
34    -10.449610851075018    0.1303724545714904    -4.268772504967033
35    -9.027678757738085    0.10630861043478262    -3.705591339130433
36    -7.825270375508975    0.0871506602689151    -3.225351478781729
37    -6.806560130696725    0.07180724475963787    -2.8166098891132387
38    -5.940276254140616    0.05944953533045691    -2.467666369676584
39    -5.200969675595364    0.04944326326201736    -2.168868809148388
40    -4.5678441785657515    0.04129978608695651    -1.9122383982608697
41    -4.02551309127776    0.034640366013521696    -1.6927839462404641
42    -3.55741164903441    0.029169302132412235    -1.5025802551308283
43    -3.1518903291501896    0.024654758591736825    -1.3370227387756959
44    -2.799368206498737    0.020913856341081886    -1.1923532414308227
45    -2.4919238132744357    0.017801574782608694    -1.0654829083478259
46    -2.2222095713740018    0.015202348141502897    -0.9530909099229874
47    -1.9858646305969019    0.013023600495795656    -0.8541843986054551
48    -1.778315143031271    0.011190869970475756    -0.7670167879731383
49    -1.595668386673312    0.009643987905895364    -0.69007696120257
50    -1.434604122162319    0.008334129217391302    -0.62205758
51    -1.292647549277542    0.007221522861226317    -0.5621413059015203
52    -1.1668444201492114    0.006273614063419478    -0.5088895475715075
53    -1.055088737729254    0.005463687237055835    -0.46143341576834707
54    -0.9555855134020825    0.004769729467239769    -0.41903572346552376
55    -0.8667994858901805    0.004173539478260869    -0.3810682608347826
56    -0.7874131564735309    0.0036600170787307626    -0.34699343865937415
57    -0.7162922957763593    0.0032165942354063734    -0.3163493803649775
58    -0.6524574720840497    0.0028327777687627152    -0.28873775235736127
59    -0.5950604552560804    0.002499780387064272    -0.26381378073222217
60    -0.5433645859749977    0.0022102219130434777    -0.24127802293913042
61    -0.4968969893672837    0.0019578820337953122    -0.2210653168015389
62    -0.4549902375918305    0.0017375148387674907    -0.20280581071299955
63    -0.41714551740625405    0.0015446755752967865    -0.18629105568667728
64    -0.3829236776696231    0.0013755910241201991    -0.17133653317917796
65    -0.3519375321775157    0.0012270501104642358    -0.15777876269474037
66    -0.323845222129604    0.0010963135969232712    -0.14547276946724697
67    -0.2983444839179122    0.000981039314266894    -0.13428986735354403
68    -0.2751676915273231    0.0008792200835137753    -0.12411571739362671
69    -0.25407756267307924    0.0007891320351482625    -0.1148486272874498
70    -0.2348634344890418    0.0007092914707684876    -0.10639806132283906
71    -0.21734752524377007    0.0006384187630778057    -0.0986833340946884
72    -0.20135133513947467    0.0005754080708186083    -0.09163246471929994
73    -0.1867262240709168    0.0005193018706607239    -0.08518117120915517
74    -0.17333963548110443    0.0004692694896370902    -0.0792719872725446
75    -0.16107319772141507    0.00042458896842831377    -0.07385348607803956
76    -0.14982106731502606    0.00038463170467608655    -0.06887959751209574
77    -0.13948848113864715    0.0003488494221053961    -0.06430900719277187
78    -0.12999048931947735    0.00031676308994731085    -0.06010462701410726
79    -0.12125084469295656    0.0002879534814625847    -0.056233128311725764
80    -0.1132010281006429    0.00026205311304347827    -0.05266452988521739
81    -0.10560948513716217    0.00023873786389090615    -0.04920401276973038
82    -0.09860095475041136    0.00021772523030431118    -0.04600496167775994
83    -0.0921254741407221    0.00019876545306613528    -0.04304550347700133
84    -0.08613777760902112    0.00018163826125460405    -0.04030574349069888
85    -0.08059681822311227    0.0001661491113293469    -0.03776757561565499
86    -0.07546534173618037    0.00015212594098076295    -0.035414511434959155
87    -0.07070950668134958    0.0001394163625583437    -0.03323152638523792
88    -0.06629854531386296    0.00012788523255354754    -0.03120492123466163
89    -0.0622044607231913    0.00011741254336116146    -0.029322197305739636
90    -0.05840175600442347    0.0001078915917098373    -0.02757194403753206
91    -0.054867982500159916    0.00009922738500776069    -0.025943737626668517
92    -0.05158098850805786    0.00009133525261507608    -0.024428049616850665
93    -0.048521404509287214    0.00008413963391325568    -0.023016164423629536
94    -0.04567154073189712    0.00007757301914330682    -0.021700104886388565
95    -0.04301522825827972    0.0000715750224538729    -0.02047256503378458
96    -0.040537676363794115    0.00006609156953962195    -0.019326849333442
97    -0.03822534431007331    0.00006107418474511308    -0.018256817772431235
98    -0.03606582602358109    0.00005647936463044998    -0.017256836182881975
99    -0.034047746271448326    0.00005226802680143228    -0.016321731287783622
100    -0.03216066710584901    0.000048405024347826105    -0.015446749996347825
101    -0.03042140580414321    0.00004485899944656749    -0.014654244659207775
102    -0.028790926832874764    0.00004160110690698258    -0.013909587436776644
103    -0.02726125278044844    0.000038605634791279465    -0.01320919243840167
104    -0.025825084181238026    0.00003584936972923563    -0.012549801422202751
105    -0.024475734131808577    0.000033311334438039464    -0.011928449040183343
106    -0.023207069953791976    0.00003097255486385225    -0.01134243221836958
107    -0.02201346106247972    0.00002881585337365273    -0.010789283129837445
108    -0.020889732310525832    0.00002682566488375306    -0.010266745295917977
109    -0.01983112217068543    0.00002498787320706522    -0.009772752416370782
110    -0.01883324520269836    0.0000232896652436405    -0.009305409584851623
111    -0.017892023163280667    0.0000217194009357799    -0.008862976593198223
112    -0.017003766924612633    0.000020266497166512883    -0.008443853068251057
113    -0.016165030929381558    0.000018921324003984355    -0.008046565219236964
114    -0.015372629190893158    0.000017675111888910266    -0.007669754003084728
115    -0.014623613073672881    0.000016519868531782527    -0.007312164540192096
116    -0.013915251192788703    0.00001544830443433069    -0.0069726366347621985
117    -0.013245011209355027    0.000014453766078805446    -0.006650096272410491
118    -0.012610543325280476    0.000013530175941462597    -0.006343547983765949
119    -0.012009665302713161    0.000012671978585340817    -0.006052067976628237
120    -0.011440348853255341    0.000011874092173913049    -0.005774797951217393
