###############################################################################
# SDCS (nb/GeV^4) for the 3S1 Octet channel, unpolarized
# Matrix element normalization follows PRD51 (1995) 1125 Eq. (6.2d)
###############################################################################
# pT  LP+NLO              LO                    NLO
###############################################################################
5    39755.10683747942    59591.200000000004    53131.77622222214
6    22781.048329746103    33747.15555555554    31313.27999999983
7    13535.311674333603    19840.297777777763    18855.042222222233
8    8286.740182623926    12119.255555555566    11671.826666666671
9    5315.578449189339    7674.821691961364    7569.486491035093
10    3445.430369005029    5021.028888888886    4990.9866666666685
11    2296.273740721227    3382.4916864571774    3377.8247261726315
12    1584.7006357640987    2338.223991903345    2357.5249837648844
13    1109.2230479605157    1653.9925013787336    1673.0580879457589
14    790.8272944659999    1194.2267860399843    1209.6707617364261
15    575.7868665192537    878.1562222222221    891.997999999999
16    430.2007145750779    656.4563514546845    672.4165429707009
17    328.2227957596642    498.0270654550243    516.2302905338678
18    253.32093467507855    382.92239291749826    401.0782480543791
19    196.54674881579936    298.01988434465954    313.9215629810104
20    153.7241597420445    234.52088888888883    247.85893333333323
21    121.77674661892743    186.43503365935294    197.85992478665437
22    97.33698881643933    149.59186317800854    159.3247093659543
23    78.43499941513875    121.06062407347932    129.32056716570068
24    63.672053716220375    98.74826958750548    105.74088079853837
25    52.039370540133994    81.14026666666666    87.05163333333348
26    42.76142501575098    67.12920648978171    72.09502169415231
27    35.35262824150701    55.89041572049907    60.070804009026354
28    29.400071528457374    46.80916028296699    50.34126587562525
29    24.5892621500632    39.42093667163937    42.41986273081321
30    20.67905932791492    33.37153333333333    35.93260444444445
31    17.488546517765013    28.388872717711177    30.59432160689554
32    14.865563396800166    24.261191543713075    26.172777318636506
33    12.697606438119225    20.823519967314514    22.49133511299026
34    10.89660966063485    17.94609243444718    19.410874391654595
35    9.393208008887084    15.526146666666671    16.821132222222225
36    8.149069480874765    13.481875739354576    14.650821068235093
37    7.095638638639272    11.747482729042435    12.804681263089837
38    6.197221976583869    10.270026769390356    11.2252658101746
39    5.42586921979103    9.006595174011336    9.866814673171689
40    4.759601245207066    7.922224444444446    8.692697999999996
41    4.16650573719563    6.988308850244311    7.6589255973150525
42    3.655042656965172    6.181269652814745    6.763870951402234
43    3.2144536393724277    5.481650826599453    5.9884028790336465
44    2.835031774217181    4.873310080488802    5.315809462235002
45    2.508174091706305    4.3427999999999995    4.731604911111109
46    2.231318070413436    3.8788798884023508    4.228268415631356
47    1.990691713308419    3.472101979348733    3.787834435307319
48    1.7805683222834288    3.1145138979945877    3.4010177343507992
49    1.596276385140403    2.799393997604761    3.0601174828348174
50    1.4339782773617504    2.5210422222222224    2.758709355555558
51    1.2905441420001433    2.2746124039466    2.491378844346646
52    1.1632899523114348    2.0559629291388024    2.2536306536084534
53    1.050023768462499    1.8615529215245916    2.041632272774831
54    0.9489094741586697    1.688343880798056    1.8521303818761266
55    0.858403134140049    1.5337213333333333    1.6823538444444424
56    0.777201528413797    1.395429777129519    1.529934283865956
