###############################################################################
# SDCS (nb/GeV^4) for the 3S1 Singlet channel, transverse polarization
# Matrix element normalization follows PRD51 (1995) 1125 Eq. (6.2b)
# LP+NLO is same as NLO because there are no additional LP contributions at 
# this order
###############################################################################
# pT  LP+NLO              LO                    NLO
###############################################################################
5    8.184488142240976    9.460977382292226    8.184488142240976
6    3.192697423027596    2.9657120573667637    3.192697423027596
7    1.2470930499674444    1.0354618636927737    1.2470930499674444
8    0.5226406365946501    0.39733195248038977    0.5226406365946501
9    0.2437052535273938    0.1654403730821023    0.2437052535273938
10    0.12361939173992205    0.07392645863395476    0.12361939173992205
11    0.06526453474644342    0.03513833185617775    0.06526453474644342
12    0.03607654153450279    0.01761251931182528    0.03607654153450279
13    0.020797885344955136    0.009248864926251068    0.020797885344955136
14    0.012445373587608444    0.005059780832644961    0.012445373587608444
15    0.00768675673689298    0.0028696832844939046    0.00768675673689298
16    0.004886270575801908    0.0016810408574846815    0.004886270575801908
17    0.003184854379928925    0.001013413235249539    0.003184854379928925
18    0.0021228920815816    0.0006268909914146752    0.0021228920815816
19    0.0014438800448474537    0.0003969293315401204    0.0014438800448474537
20    0.0010001977630351069    0.00025669613125541674    0.0010001977630351069
21    0.0007048104518761596    0.00016926584043909688    0.0007048104518761596
22    0.0005042561748872047    0.0001135974815920952    0.0005042561748872047
23    0.0003658204451203814    0.00007747991200476802    0.0003658204451203814
24    0.0002688058144678511    0.00005363859507343004    0.0002688058144678511
25    0.00019986561130501263    0.00003764817408564896    0.00019986561130501263
26    0.0001502903649700838    0.000026767826205795595    0.0001502903649700838
27    0.00011416652891596354    0.000019258990038340627    0.00011416652891596354
28    0.00008754837941282333    0.000014010388928568597    0.00008754837941282333
29    0.00006772972085631378    0.000010297791256364595    0.00006772972085631378
30    0.00005283005471748125    7.642356328349125e-6    0.00005283005471748125
31    0.00004152664900301361    5.723202252370831e-6    0.00004152664900301361
32    0.000032878479758003926    4.322576477213046e-6    0.000032878479758003926
33    0.000026208934549778544    3.2909573061075366e-6    0.000026208934549778544
34    0.000021026651803601356    2.5245301303751348e-6    0.000021026651803601356
35    0.000016971448864730687    1.9504593072904536e-6    0.000016971448864730687
36    0.000013781640408410672    1.5173098135428441e-6    0.000013781640408410672
37    0.00001125203025066176    1.1879222165715452e-6    0.00001125203025066176
38    9.233868269986345e-6    9.356974794208213e-7    9.233868269986345e-6
39    7.614546062541122e-6    7.412843395658386e-7    7.614546062541122e-6
40    6.3082017549847565e-6    5.904920560178441e-7    6.3082017549847565e-6
41    5.248920534763915e-6    4.728353491942385e-7    5.248920534763915e-6
42    4.385773019477679e-6    3.805110004199021e-7    4.385773019477679e-6
43    3.679166293902375e-6    3.076719488757165e-7    3.679166293902375e-6
44    3.098140325524674e-6    2.4990824858172623e-7    3.098140325524674e-6
45    2.6183506282900993e-6    2.0387308198829575e-7    2.6183506282900993e-6
46    2.2205528242052254e-6    1.6701131398161977e-7    2.2205528242052254e-6
47    1.8894569087844671e-6    1.3736109082368855e-7    1.8894569087844671e-6
48    1.6128557078693931e-6    1.1340785634099897e-7    1.6128557078693931e-6
