###############################################################################
# SDCS (nb/GeV^4) for the 3S1 Singlet channel, unpolarized
# Matrix element normalization follows PRD51 (1995) 1125 Eq. (6.2b)
# LP+NLO is same as NLO because there are no additional LP contributions at
# this order
###############################################################################
# pT  LP+NLO              LO                    NLO
###############################################################################
5    51.64402538030578    20.649184305817357    51.64402538030578
6    21.052813027143028    6.331795958938834    21.052813027143028
7    9.192685369675658    2.1761196059359613    9.192685369675658
8    4.343307435556655    0.8257743086512389    4.343307435556655
9    2.1779507666431766    0.3412211207755259    2.1779507666431766
10    1.1539204271629535    0.15164110054117644    1.1539204271629535
11    0.6451860852368274    0.07176808094697483    0.6451860852368274
12    0.3762487590642698    0.03585476494923147    0.3762487590642698
13    0.22722519896618767    0.018779674159852006    0.22722519896618767
14    0.1415103580515651    0.010252472382013775    0.1415103580515651
15    0.09066430492502955    0.0058051805648803    0.09066430492502955
16    0.05962748143663821    0.0033956527163638214    0.05962748143663821
17    0.0401176119892396    0.00204458055534058    0.0401176119892396
18    0.02754928228310896    0.0012635440280878724    0.02754928228310896
19    0.0192688162501954    0.0007994291915272022    0.0192688162501954
20    0.013700140892098724    0.000516666586376674    0.013700140892098724
21    0.009882646963751594    0.0003404704683924657    0.009882646963751594
22    0.007226142246987281    0.00022837254503126883    0.007226142246987281
23    0.005350222034589611    0.00015569254648763902    0.005350222034589611
24    0.00400744517504501    0.00010774369384959281    0.00400744517504501
25    0.0030341420830617286    0.00007559990617749657    0.0030341420830617286
26    0.0023209722373121414    0.00005373193663671336    0.0023209722373121414
27    0.0017919605434536193    0.000038646570460902355    0.0017919605434536193
28    0.0013955050633364498    0.000028106172778484735    0.0013955050633364498
29    0.0010955385335708091    0.000020653114146033487    0.0010955385335708091
30    0.000866544519083945    0.000015324077021609073    0.000866544519083945
31    0.0006902605476309779    0.00001147400647035168    0.0006902605476309779
32    0.0005534942620486205    8.664828158716707e-6    0.0005534942620486205
33    0.0004466042047713388    6.596160817133294e-6    0.0004466042047713388
34    0.00036248364662677977    5.059529086054118e-6    0.00036248364662677977
35    0.0002958483869958851    3.908718728028091e-6    0.0002958483869958851
36    0.00024275528132412547    3.0401903556058644e-6    0.00024275528132412547
37    0.0002001818300185793    2.3798533645916484e-6    0.0002001818300185793
38    0.00016585209201924576    1.8743035186848141e-6    0.00016585209201924576
39    0.00013802276352166317    1.484697602188153e-6    0.00013802276352166317
40    0.00011534941789745217    1.1825575309623808e-6    0.00011534941789745217
41    0.0000967794352458382    9.468495469693903e-7    0.0000967794352458382
42    0.00008151227852323308    7.61915123422266e-7    0.00008151227852323308
43    0.00006890730637291739    6.160282965254677e-7    0.00006890730637291739
44    0.00005845802879251754    5.003470493250874e-7    0.00005845802879251754
45    0.0000497620272808903    4.081622679258994e-7    0.0000497620272808903
46    0.000042501785812130554    3.3435358524624127e-7    0.000042501785812130554
47    0.00003641388814985348    2.749882713308213e-7    0.00003641388814985348
48    0.0000312909169188896    2.270317734491067e-7    0.0000312909169188896
49    0.000026965306831352318    1.881295067963523e-7    0.000026965306831352318
50    0.000023301094369913684    1.564452809118512e-7    0.000023301094369913684
51    0.00002018505511340739    1.3054043224458276e-7    0.00002018505511340739
52    0.000017530276379121232    1.0928191466704953e-7    0.000017530276379121232
53    0.000015262333416938065    9.177400072760194e-8    0.000015262333416938065
54    0.00001331974389188998    7.730534092173323e-8    0.00001331974389188998
55    0.000011651563225148802    6.530866920584829e-8    0.000011651563225148802
56    0.000010215453957283857    5.532981212793548e-8    0.000010215453957283857
57    8.976130561211016e-6    4.7003741802295614e-8    8.976130561211016e-6
58    7.904102651693665e-6    4.003598819282916e-8    7.904102651693665e-6
59    6.974656145951972e-6    3.418814845648183e-8    6.974656145951972e-6
60    6.16702479383891e-6    2.926654278842956e-8    6.16702479383891e-6
61    5.462330161868161e-6    2.5113194714291877e-8    5.462330161868161e-6
62    4.846899640540444e-6    2.159908887177109e-8    4.846899640540444e-6
63    4.3083082833119355e-6    1.8618324051764293e-8    4.3083082833119355e-6
64    3.8360160471771346e-6    1.608376204910341e-8    3.8360160471771346e-6
65    3.4210584753000453e-6    1.3923492178304596e-8    3.4210584753000453e-6
66    3.0557919190557615e-6    1.2078000860025174e-8    3.0557919190557615e-6
67    2.7336830289016035e-6    1.0497898092895792e-8    2.7336830289016035e-6
68    2.4491342981493472e-6    9.142085324434999e-9    2.4491342981493472e-6
69    2.197339063768437e-6    7.976274383336732e-9    2.197339063768437e-6
70    1.974160650599172e-6    6.971786552515256e-9    1.974160650599172e-6
71    1.7760313639704719e-6    6.104575910917951e-9    1.7760313639704719e-6
